file,row_index,correct_answer,rationale
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0004.mp4,0,C,"At the beginning of the target scene, a man is seen running through the market (00:31) holding a bottle. The context established that these bottles, which are being sold in the town, feature labels with ""Missing Child"" portraits."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0021.mp4,1,B,"During the sequence following the woman pointing at the book, the woman from the portrait is seen leaning over a child in bed and placing her hand on the child's chest."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0030.mp4,2,C,"In the flashback sequence following the confrontation, the woman in the light blue dress walks over to the man digging in the garden and embraces him by wrapping her arms around his neck from behind."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0033.mp4,3,B,"In the target scene at 00:46, the characters look toward a distant, jagged mountain peak where a bright, glowing fire is visible against the night sky, which identifies the location where the earlier events occurred."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0029.mp4,4,C,"In the final shots, the man holds the candle close to the wooden wall, revealing a primitive painting of a boy and a girl standing next to each other."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0036.mp4,5,B,"During the close-quarters struggle in the target scene, the dark-haired woman strikes the arm of the woman in the green vest, causing the mechanical device seen earlier to fly off her hand and land on the cave floor."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0018.mp4,6,B,"In the final part of the video, the man with long hair is shown lying on a wooden floor with a bloody wound on his cheek and is later seen crawling."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0010.mp4,7,B,"In the forest, thick, dark roots move on their own across the ground and weave together to form a cage-like enclosure that traps the two children inside."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0009.mp4,8,B,"The man with long hair, seen earlier at the campfire, is shown on the ground reaching for a small wooden item and placing it into his mouth as the woman stands over him."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0031.mp4,9,C,"The final shot shows the same wooden house from the beginning of the video, but it is now covered in brown, withered vines and appears derelict and uninhabited, in contrast to its earlier state as a functioning home with lights and smoke."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0006.mp4,10,C,"In the final seconds of the video, the woman is shown firing her weapon, and the following shot shows a metal component trailing a wire as it flies over a high branch in the trees."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0012.mp4,11,B,The man is shown at a merchant's stall holding up a light-colored garment to show the vendor. This character was established in the earlier part of the video when he was shown sleeping on the floor of a room.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0003.mp4,12,B,"In the target scene, a figure is visible on the right being turned on a horizontal pole over flames, which matches the specific action depicted in the earlier context section of the video."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0044.mp4,13,B,"In the target scene, the woman is seen crashing into a stone wall with enough force to make the rocks break apart and fall away. The context helps identify her as the same person who was moving too fast to be clearly seen in the preceding moments."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0020.mp4,14,B,The young man is shown dipping a piece of fabric into a bowl of water and then gently dabbing the woman's neck and the area just above her bodice.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0043.mp4,15,C,"In the target scene, the young man is shown walking across the dry, open landscape while holding and looking at a piece of yellowed parchment."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0041.mp4,16,B,"In the final seconds of the video, the woman's face shifts from a human appearance back to the monstrous form seen at the beginning of the clip, which is characterized by pale, cracked skin and vivid blue eyes. This transformation occurs as she stops pleading and resumes her attack."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0002.mp4,17,B,"In the target scene, both children are clearly shown grabbing and pulling down on vertical metal chains. This action causes a heavy metal door to slide down from above, sealing the woman inside the burning oven."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0025.mp4,18,B,"In the target scene, the creature and the woman are shown from a distance walking along a sunlit path, viewed through the dark, rocky opening of a cave."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0028.mp4,19,B,"In the target scene, the man and woman are shown sitting together among the broken wood from the fall and are seen holding each other in a hug."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0026.mp4,20,B,"At the start of the target scene, the woman is clearly visible holding the large mushroom-like object to her mouth and drinking the water from it."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0039.mp4,21,B,"Following a blast of smoke and debris, the woman is seen flying through the air and landing on the floor inside the opening of the structure the group was walking toward earlier."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0013.mp4,22,C,"In the target scene, after the man finishes his injection and puts the device away, he reaches down to pick up a wicker basket from the stone step and hands it to the woman standing next to him."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0022.mp4,23,B,"The context shows the creature biting into the neck of a boar just before the target scene starts. At the beginning of the target scene, the creature is seen hunched over the carcass with blood on its mouth and chin before it raises its head."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0040.mp4,24,B,"The target scene depicts the man and the woman in the green dress in a physical struggle with the same pale, black-haired figure that was established in the context as the one who attacked the blonde woman. The creature’s distinct appearance, including her cracked skin and long black hair, is visible during the combat inside the structure."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0001.mp4,25,B,"In the target scene, the boy is shown in a close-up shot being held by a pair of hands; he is visibly sobbing and takes a bite out of a small, rectangular, bright blue piece of food."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0016.mp4,26,B,"In the shots where the man is handling the papers on the table, his hands are clearly visible wearing dark leather gloves that feature prominent metal plates or studs positioned over the knuckles. These are the same reinforced gloves shown being used as a weapon in the preceding scene."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0034.mp4,27,B,"In the target scene, a projectile from the large multi-barreled weapon is shown striking the bark of the tree, causing visible wood splinters to fly into the air while a woman is seen cowering against the trunk."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0011.mp4,28,B,"A close-up of the woman's face near the end of the cave sequence shows numerous small, sharp spikes sticking out from her cheeks, forehead, and neck."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0038.mp4,29,C,"After the group of three people walks through the woods and stops, the camera reveals the large, grey-skinned creature sitting upright in a clearing filled with thin, leafless trees."
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0005.mp4,30,B,"As the creature leaps across the room, the woman is shown aiming her multi-limbed crossbow and firing several bolts in very quick succession at the target."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0004.mp4,31,B,"Upon entering the small tent, the scene reveals a spacious, fully-furnished interior with armchairs, rugs, a dining area, and a wood-burning stove. The space also includes stairs leading to additional upper levels, making it significantly larger than its exterior would suggest."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0030.mp4,32,C,"In the context, a photographer wearing a brown cap and carrying a large red camera is shown taking a flash photograph while standing on the floor of the tent. In the target scene, when the cannon fires, he is visible positioned on a high wooden platform built around one of the tent's main support poles."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0000.mp4,33,B,The target scene shows the snake slithering through a graveyard and arriving at the base of a large monument featuring a hooded skeletal figure with wings.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0015.mp4,34,C,"In the final moments of the video, the creature on the glass dish is shown shaking and twitching uncontrollably as the man directs his wand toward it."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0029.mp4,35,D,"In the final shot of the video inside a tent, the boy identified earlier as the one with glasses is seen from behind wearing a jersey with the name ""POTTER"" printed across the shoulders in large yellow letters."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0036.mp4,36,B,"In the target scene, the boy with glasses is shown sitting at a long table, holding a golden cup to his mouth and looking at a newspaper titled ""The Daily Prophet."""
1051_Harry_Potter_and_the_goblet_of_fire/segment_0018.mp4,37,C,"After the man in the dark brown uniform enters the hall and walks toward the center, two individuals with long white hair and beards can be seen in the background rolling and fighting on the floor."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0010.mp4,38,B,A large wooden ship with several masts and sails emerges from beneath the surface of the lake.
1051_Harry_Potter_and_the_goblet_of_fire/segment_0047.mp4,39,B,"The golden egg is clearly visible on the edge of the bath throughout the scene, most notably when the character first enters the water and when he later reaches out to pick it up."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0066.mp4,40,B,"In the target scene, the person in the red shirt is pinned against a monument by a large, grey object that they are seen gripping with both hands. The context established earlier shows a winged stone statue moving its scythe to trap the individual against the stone."
1051_Harry_Potter_and_the_goblet_of_fire/segment_0009.mp4,41,C,"In the target scene, the white bird is seen taking the envelope from the boy and then flying across a large body of water while holding it firmly in its beak."
